Date,Best MVO,Run time
1/3/2016,-19.48990,102.18699
1/10/2016,-19.58079,88.12154
1/17/2016,-19.48144,85.71132
1/24/2016,-19.53890,87.68099
1/31/2016,-19.54109,89.11044
2/7/2016,-19.57871,89.31793
2/14/2016,-19.49971,89.21586
2/21/2016,-19.53330,90.40079
2/28/2016,-19.49841,86.79536
3/6/2016,-19.50971,89.49214
3/13/2016,-19.57963,86.42514
3/20/2016,-19.52645,87.91226
3/27/2016,-19.53733,85.22019
4/3/2016,-19.47987,88.76767
4/10/2016,-19.40985,86.74586
4/17/2016,-19.50771,89.31111
4/24/2016,-19.51879,85.57993
5/1/2016,-19.52242,93.57790
5/8/2016,-19.46539,86.64817
5/15/2016,-19.54783,89.68583
5/22/2016,-19.50423,85.62245
5/29/2016,-19.47829,88.64781
6/5/2016,-19.49577,85.59025
6/12/2016,-19.47446,85.79280
6/19/2016,-19.53335,87.19770
6/26/2016,-19.51165,87.00304
7/3/2016,-19.51036,88.08778
7/10/2016,-19.56373,86.24293
7/17/2016,-19.45281,93.35456
7/24/2016,-19.47988,86.03017
7/31/2016,-19.58381,88.71144
8/7/2016,-19.46057,85.80281
8/14/2016,-19.52814,88.90427
8/21/2016,-19.53363,86.18200
8/28/2016,-19.50146,88.10870
9/4/2016,-19.49697,88.33668
9/11/2016,-19.56845,84.03301
9/18/2016,-19.52954,86.80191
9/25/2016,-19.52600,84.10463
10/2/2016,-19.50118,85.95226
10/9/2016,-19.54843,87.51289
10/16/2016,-19.58987,83.47066
10/23/2016,-19.55713,81.69826
10/30/2016,-19.52729,83.35247
11/6/2016,-19.56079,83.20109
11/13/2016,-19.53163,82.82930
11/20/2016,-19.57267,83.65506
11/27/2016,-19.53668,85.07081
12/4/2016,-19.57699,91.47276
12/11/2016,-19.52131,87.39611
12/18/2016,-19.48592,87.17678
12/25/2016,-19.51815,85.63948
