,date,runtime,MVO,MVO_random,random_runtime,sharpe_results,sharpe_runtime,MVO_linear,linear_runtime
0,2016-01-03,513.636614,-19.040997,-19.492954,22.211336,-19.58911,0.003583,-18.988878,48.141319
1,2016-01-10,242.902223,-19.018464,-19.492954,22.488564,-19.699593,0,-18.978455,47.298683
2,2016-01-17,475.774462,-19.076562,-19.492954,23.437264,-19.698227,0.016461,-19.039426,47.168729
3,2016-01-24,272.372534,-19.054682,-19.492954,25.940203,-19.630556,0.008985,-18.960274,45.180527
4,2016-01-31,476.494043,-19.122373,-19.492954,27.853696,-19.857046,0.010082,-19.047086,46.848854
5,2016-02-07,745.732973,-19.045726,-19.492954,31.973739,-19.624716,0.013799,-18.991943,51.212169
6,2016-02-14,289.685318,-18.926014,-19.443813,33.43754,-19.532577,0.008112,-18.887519,49.083825
7,2016-02-21,531.118211,-19.045261,-19.443813,35.799605,-19.69468,0.007111,-18.99803,48.979197
8,2016-02-28,596.215952,-18.986862,-19.443813,38.059572,-19.582575,0.012109,-18.948592,52.144211
9,2016-03-06,545.51159,-18.922542,-19.443813,40.940694,-19.62666,0.009373,-18.884403,48.169932
10,2016-03-13,353.146841,-19.022052,-19.443813,42.695556,-19.680439,0.009114,-18.982854,52.52475
11,2016-03-20,632.099054,-18.972955,-19.443813,44.868841,-19.695681,0.004571,-18.939897,50.70025
12,2016-03-27,273.100868,-18.984266,-19.3978,47.181356,-19.619614,0.015798,-18.920364,47.073628
13,2016-04-03,307.723905,-18.920363,-19.3978,49.681259,-19.445961,0.008764,-18.882347,45.079879
14,2016-04-10,295.151664,-19.064235,-19.3978,51.785568,-19.61071,0.011042,-18.989447,46.323441
15,2016-04-17,814.146656,-19.029741,-19.3978,56.380205,-19.540905,0.010458,-18.971018,44.777686
16,2016-04-24,702.616308,-18.997964,-19.3978,58.237029,-19.665957,0.012959,-18.924411,49.695538
17,2016-05-01,1172.938846,-19.07762,-19.3978,59.132252,-19.843305,0.0097,-19.023386,47.258868
18,2016-05-08,530.553892,-19.030414,-19.3978,59.97265,-19.503525,0.009638,-18.964297,47.543075
19,2016-05-15,493.029034,-19.101137,-19.3978,61.882203,-19.675216,0.010977,-19.045095,47.704033
20,2016-05-22,443.458788,-18.969989,-19.386315,64.479573,-19.618581,0.008117,-18.910207,67.885592
21,2016-05-29,423.777412,-18.851589,-19.386315,66.625631,-19.629374,0.0098,-18.829624,69.78505
22,2016-06-05,1557.026455,-18.965017,-19.386315,67.972785,-19.539748,0.005116,-18.926005,45.817668
23,2016-06-12,610.695845,-18.95296,-19.386315,70.205393,-19.369492,0.010284,-18.919735,45.778358
24,2016-06-19,868.87592,-18.936431,-19.386315,72.136827,-19.511924,0.006832,-18.878613,45.680023
25,2016-06-26,342.111258,-18.992508,-19.386315,74.229764,-19.511568,0.011386,-18.943696,47.214167
26,2016-07-03,444.677006,-19.064952,-19.386315,76.264567,-19.626165,0.010234,-18.997216,45.812072
27,2016-07-10,519.384877,-18.964903,-19.386315,78.40354,-19.717158,0.008258,-18.936382,47.097481
28,2016-07-17,499.545123,-18.9897,-19.386315,80.410324,-19.582331,0.008397,-18.927213,46.949942
29,2016-07-24,488.06905,-18.947506,-19.386315,82.68134,-19.561221,0.014981,-18.910185,46.766905
30,2016-07-31,272.141673,-19.076644,-19.386315,84.410376,-19.591238,0.008492,-19.004556,45.605495
31,2016-08-07,346.078288,-19.023709,-19.386315,86.854774,-19.577951,0.010646,-18.973862,45.091673
32,2016-08-14,511.76968,-18.954051,-19.386315,88.903475,-19.475106,0,-18.911184,45.402504
33,2016-08-21,285.690301,-19.035451,-19.386315,91.257001,-19.707731,0.008161,-18.980494,46.062094
34,2016-08-28,322.903689,-19.035243,-19.386315,92.917432,-19.554771,0.006921,-18.973645,46.20191
35,2016-09-04,427.340416,-19.133401,-19.386315,95.459055,-19.714035,0.007911,-19.065525,46.185501
36,2016-09-11,259.784577,-19.105407,-19.386315,98.750897,-19.692938,0.0095,-19.055605,45.796326
37,2016-09-18,321.96292,-19.110133,-19.386315,99.818142,-19.648529,0.010142,-19.039836,45.343516
38,2016-09-25,499.489878,-19.004368,-19.386315,101.615844,-19.697139,0.005081,-18.945635,46.614314
39,2016-10-02,263.815147,-19.005722,-19.386315,103.164558,-19.62394,0.00965,-18.93994,46.429636
40,2016-10-09,289.968706,-19.081222,-19.386315,105.187196,-19.654382,0,-18.995185,45.536383
41,2016-10-16,584.620252,-19.053888,-19.386315,107.669505,-19.855651,0.009621,-19.005572,46.187983
42,2016-10-23,408.931701,-18.908183,-19.386315,109.550093,-19.471084,0.009866,-18.844767,45.77571
43,2016-10-30,344.517629,-18.984095,-19.386315,111.298022,-19.640546,0.008607,-18.933775,46.208685
44,2016-11-06,282.319317,-19.022827,-19.386315,112.910875,-19.61429,0.004108,-18.968086,45.896586
45,2016-11-13,283.586886,-19.047648,-19.386315,115.324439,-19.657875,0.003869,-18.965656,45.8078
46,2016-11-20,347.845094,-18.972295,-19.386315,117.447534,-19.565545,0.00807,-18.934522,46.126823
47,2016-11-27,427.992489,-18.956642,-19.386315,132.177927,-19.311233,0.009563,-18.913042,47.187991
48,2016-12-04,301.081776,-19.032688,-19.386315,134.425875,-19.484427,0.004947,-18.967312,45.87675
49,2016-12-11,323.641453,-19.004761,-19.386315,130.87685,-19.641497,0.008978,-18.95111,45.6322
